MSW_TAXON	TAXON	ORDER	FAMILY	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	MASS_KG	H2O_DEP	WILD	TAXON_Kari	ORDER_Kari	FAMILY_Kari	LENGTH_MM	MASS_G	DIET_CLUSTER	FO_CP	FO_EE	FO_CF	FO_ASH	FO_NFE	DIET_CLU	DIET_EIS	flag_false_composition	diet_cat1	diet_eis1	TAXON_OLD1	TAXON_OLD2	last_checked	last_update
Cercopithecus roloway	Cercopithecus roloway	Primates	Cercopithecidae	1	NA	1	1	0	0	0	0	NA	NA	NA	Cercopithecus roloway	Primates	Cercopithecidae	512.5	NA	F2	20.754	7.401	13.784	7.243	50.819	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Cercopithecus sclateri	Cercopithecus sclateri	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Cercopithecus sclateri	Primates	Cercopithecidae	512.5	3250	F2	22.957	11.374	10.635	5.591	49.442	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	NA
Cercopithecus solatus	Cercopithecus solatus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Cercopithecus solatus	Primates	Cercopithecidae	512.5	3920	F2	22.957	11.374	10.635	5.591	49.442	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Cercopithecus wolfi	Cercopithecus wolfi	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Cercopithecus wolfi	Primates	Cercopithecidae	512.5	2870	F2	22.957	11.374	10.635	5.591	49.442	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	NA
Chlorocebus aethiops	Chlorocebus aethiops	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Chlorocebus aethiops	Primates	Cercopithecidae	483.5	3732.64	F2	22.124	8.508	14.263	5.772	49.334	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	NA
Chlorocebus cynosuros	Chlorocebus cynosuros	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Chlorocebus cynosuros	Primates	Cercopithecidae	NA	NA	F2	22.124	8.508	14.263	5.772	49.334	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Chlorocebus djamdjamensis	Chlorocebus djamdjamensis	Primates	Cercopithecidae	1	NA	1	1	0	0	0	0	NA	NA	NA	Chlorocebus djamdjamensis	Primates	Cercopithecidae	NA	NA	F2	22.124	8.508	14.263	5.772	49.334	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Chlorocebus pygerythrus	Chlorocebus pygerythrus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	5.2	H	W	Chlorocebus pygerythrus	Primates	Cercopithecidae	NA	NA	F2	22.124	8.508	14.263	5.772	49.334	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Chlorocebus sabaeus	Chlorocebus sabaeus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Chlorocebus sabaeus	Primates	Cercopithecidae	NA	NA	A12	44.924	5.278	2.45	34.422	12.926	5.CrustacivoreandClam-Eaters		0	A	NA	NA	NA	NA	NA
Chlorocebus tantalus	Chlorocebus tantalus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	4.2	H	W	Chlorocebus tantalus	Primates	Cercopithecidae	NA	NA	F2	22.124	8.508	14.263	5.772	49.334	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Colobus angolensis	Colobus angolensis	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	9.8	M	W	Colobus angolensis	Primates	Cercopithecidae	585	8625	F2	6.959	3.533	13.946	34.623	40.94	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	NA
Colobus guereza	Colobus guereza	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	10.6	M	W	Colobus guereza	Primates	Cercopithecidae	585	8000	H4	9.429	4.954	19.957	6.323	59.337	12.Herbivore-Frugivore	Frugivore-granivore	0	H	Frugivore	NA	NA	Berlin2016June	NA
Colobus polykomos	Colobus polykomos	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Colobus polykomos	Primates	Cercopithecidae	585	8508	H4	10.71	4.947	19.96	6.343	58.039	12.Herbivore-Frugivore	Frugivore-herbivore	0	H	Frugivore	NA	NA	Berlin2016June	NA
Colobus satanas	Colobus satanas	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Colobus satanas	Primates	Cercopithecidae	585	8910	F2	13.031	6.833	17.038	5.694	57.406	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	NA
Colobus vellerosus	Colobus vellerosus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Colobus vellerosus	Primates	Cercopithecidae	585	7700.18	H4	10.71	4.947	19.96	6.343	58.039	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Erythrocebus patas	Erythrocebus patas	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	8.1	L	W	Erythrocebus patas	Primates	Cercopithecidae	737.5	5883.4	F2	23.573	7.96	14.08	5.616	48.772	12.Frugivore-Herbivore	Frugivore-herbivore	0	F	Frugivore	NA	NA	NA	NA
Lophocebus albigena	Lophocebus albigena	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Lophocebus albigena	Primates	Cercopithecidae	NA	7000	F2	20.093	6.131	12.708	7.968	53.099	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	NA
Lophocebus aterrimus	Lophocebus aterrimus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Lophocebus aterrimus	Primates	Cercopithecidae	NA	6510.37	F2	15.925	6.715	16.032	6.514	54.816	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Lophocebus opdenboschi	Lophocebus opdenboschi	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Lophocebus opdenboschi	Primates	Cercopithecidae	NA	NA	F2	23.834	6.273	11.922	9.158	48.813	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Macaca arctoides	Macaca arctoides	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca arctoides	Primates	Cercopithecidae	575	7307.67	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca assamensis	Macaca assamensis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca assamensis	Primates	Cercopithecidae	572.5	9100	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca cyclopis	Macaca cyclopis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca cyclopis	Primates	Cercopithecidae	565.5	6316.67	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca fascicularis	Macaca fascicularis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca fascicularis	Primates	Cercopithecidae	447.5	3456.29	A13	52.076	6.556	4.266	25.65	11.453	7.8.Insectivore-Invertivore-Carnivore		0	A	NA	NA	NA	Berlin2016June	NA
Macaca fuscata	Macaca fuscata	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca fuscata	Primates	Cercopithecidae	565.5	8857.5	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca hecki	Macaca hecki	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Macaca hecki	Primates	Cercopithecidae	565.5	15000	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca leonina	Macaca leonina	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Macaca leonina	Primates	Cercopithecidae	565.5	15000	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca maura	Macaca maura	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca maura	Primates	Cercopithecidae	565.5	5575	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca mulatta	Macaca mulatta	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca mulatta	Primates	Cercopithecidae	527.5	5413.4	F2	16.184	6.315	14.776	5.853	56.872	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Macaca nemestrina	Macaca nemestrina	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca nemestrina	Primates	Cercopithecidae	447.5	6133.1	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca nigra	Macaca nigra	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca nigra	Primates	Cercopithecidae	565.5	6211.67	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	Berlin2016June	NA
Macaca nigrescens	Macaca nigrescens	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Macaca nigrescens	Primates	Cercopithecidae	565.5	15000	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	Berlin2016June	NA
Macaca ochreata	Macaca ochreata	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca ochreata	Primates	Cercopithecidae	565.5	2745.5	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	Berlin2016June	NA
Macaca pagensis	Macaca pagensis	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Macaca pagensis	Primates	Cercopithecidae	565.5	4534.66	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca radiata	Macaca radiata	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca radiata	Primates	Cercopithecidae	565.5	3735	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	Berlin2016June	NA
Macaca siberu	Macaca siberu	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Macaca siberu	Primates	Cercopithecidae	565.5	15000	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca silenus	Macaca silenus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca silenus	Primates	Cercopithecidae	565.5	4875	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca sinica	Macaca sinica	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca sinica	Primates	Cercopithecidae	447.5	4440	F2	19.35	8.043	14.889	6.693	51.025	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Macaca sylvanus	Macaca sylvanus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca sylvanus	Primates	Cercopithecidae	764	9752.6	F2	18.555	5.934	14.952	6.074	54.486	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Macaca thibetana	Macaca thibetana	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca thibetana	Primates	Cercopithecidae	565.5	10036.67	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Macaca tonkeana	Macaca tonkeana	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Macaca tonkeana	Primates	Cercopithecidae	565.5	10035.53	F1	41.507	11.42	9.738	13.561	23.773	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Mandrillus leucophaeus	Mandrillus leucophaeus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Mandrillus leucophaeus	Primates	Cercopithecidae	687	9087.5	F2	22.293	7.505	14.777	9.115	46.311	12.Frugivore-Herbivore	Frugivore-herbivore	0	F	Frugivore	NA	NA	NA	NA
Mandrillus sphinx	Mandrillus sphinx	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Mandrillus sphinx	Primates	Cercopithecidae	687	11916.67	F2	19.874	8.471	19.308	6.408	45.939	12.Frugivore-Herbivore	Frugivore-herbivore	0	F	Frugivore	NA	NA	NA	NA
Miopithecus ogouensis	Miopithecus ogouensis	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Miopithecus ogouensis	Primates	Cercopithecidae	385	NA		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Miopithecus talapoin	Miopithecus talapoin	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Miopithecus talapoin	Primates	Cercopithecidae	385	1130	F1	34.813	11.475	9.794	6.395	37.523	9.Insectivore-Omnivore	Frugivore-omnivore	0	F	Frugivore	NA	NA	Berlin2016June	NA
Nasalis larvatus	Nasalis larvatus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Nasalis larvatus	Primates	Cercopithecidae	550	15100	H4	23.735	3.887	10.239	9.094	53.045	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	Berlin2016June	NA
Papio anubis	Papio anubis	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	19.4	H	W	Papio anubis	Primates	Cercopithecidae	825.5	21400	F2	23.235	7.921	11.215	7.457	50.173	12.Frugivore-Herbivore	Frugivore-herbivore	0	F	Frugivore	NA	NA	NA	NA
Papio cynocephalus	Papio cynocephalus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	21	H	W	Papio cynocephalus	Primates	Cercopithecidae	825.5	15100	A14	68.882	10.551	1.148	13.972	5.447	12.Frugivore-Herbivore	Frugivore-herbivore	1	A	Frugivore	NA	NA	NA	NA
Papio hamadryas	Papio hamadryas	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Papio hamadryas	Primates	Cercopithecidae	686	14028.57	F2	22.943	7.615	13.232	8.269	47.941	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Papio papio	Papio papio	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Papio papio	Primates	Cercopithecidae	825.5	18026.05	F5	13.923	5.797	17.609	8.618	54.053	10.Frugivore-Omnivore		0	F	NA	NA	NA	NA	NA
Papio ursinus	Papio ursinus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Papio ursinus	Primates	Cercopithecidae	825.5	20600	A10	41.774	10.205	8.528	3.625	35.867	10.Frugivore-Omnivore	Frugivore-herbivore	1	A	Frugivore	NA	NA	NA	NA
Piliocolobus badius	Piliocolobus badius	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Piliocolobus badius	Primates	Cercopithecidae	588.8	6163.5	H4	11.427	4.313	19.267	8.782	56.212	12.Herbivore-Frugivore	Frugivore-herbivore	0	H	Frugivore	Procolobus badius	NA	Berlin2016June	NA
Piliocolobus foai	Piliocolobus foai	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Piliocolobus foai	Primates	Cercopithecidae	560	8200	F2	11.504	5.974	18.424	6.073	58.026	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Piliocolobus gordonorum	Piliocolobus gordonorum	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Piliocolobus gordonorum	Primates	Cercopithecidae	560	8200	F2	11.504	5.974	18.424	6.073	58.026	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Piliocolobus kirkii	Piliocolobus kirkii	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Piliocolobus kirkii	Primates	Cercopithecidae	560	7158.29	F2	11.504	5.974	18.424	6.073	58.026	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Piliocolobus pennantii	Piliocolobus pennantii	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Piliocolobus pennantii	Primates	Cercopithecidae	560	7953	F2	11.504	5.974	18.424	6.073	58.026	12.Frugivore-Herbivore		0	F	NA	Procolobus pennantii	NA	Berlin2016June	NA
Piliocolobus preussi	Piliocolobus preussi	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Piliocolobus preussi	Primates	Cercopithecidae	560	8865.71	H4	11.293	5.894	18.759	5.653	58.402	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Piliocolobus rufomitratus	Piliocolobus rufomitratus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	8	H	W	Piliocolobus rufomitratus	Primates	Cercopithecidae	560	8440	H4	11.293	5.894	18.759	5.653	58.402	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Piliocolobus tephrosceles	Piliocolobus tephrosceles	Primates	Cercopithecidae	1	NA	1	1	0	0	0	0	NA	NA	NA	Piliocolobus tephrosceles	Primates	Cercopithecidae	560	8200	F2	11.504	5.974	18.424	6.073	58.026	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Piliocolobus tholloni	Piliocolobus tholloni	Primates	Cercopithecidae	1	NA	1	1	0	0	0	0	NA	NA	NA	Piliocolobus tholloni	Primates	Cercopithecidae	560	8200	F2	11.504	5.974	18.424	6.073	58.026	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Presbytis chrysomelas	Presbytis chrysomelas	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Presbytis chrysomelas	Primates	Cercopithecidae	515	6550	H4	14.571	6.218	20.346	5.969	52.897	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Presbytis comata	Presbytis comata	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Presbytis comata	Primates	Cercopithecidae	515	6200	H4	14.571	6.218	20.346	5.969	52.897	12.Herbivore-Frugivore		0	H	NA	NA	NA	Berlin2016June	Berlin2016June
Presbytis femoralis	Presbytis femoralis	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Presbytis femoralis	Primates	Cercopithecidae	515	6225	H4	14.571	6.218	20.346	5.969	52.897	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Presbytis frontata	Presbytis frontata	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Presbytis frontata	Primates	Cercopithecidae	515	5615	H4	14.571	6.218	20.346	5.969	52.897	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Presbytis hosei	Presbytis hosei	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Presbytis hosei	Primates	Cercopithecidae	515	5905	H4	11.293	5.894	18.759	5.653	58.402	12.Herbivore-Frugivore		0	H	NA	NA	NA	Berlin2016June	NA
Presbytis melalophos	Presbytis melalophos	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Presbytis melalophos	Primates	Cercopithecidae	500	6530	H4	12.81	5.656	20.17	6.923	54.442	12.Herbivore-Frugivore		0	H	NA	NA	NA	Berlin2016June	NA
Presbytis natunae	Presbytis natunae	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Presbytis natunae	Primates	Cercopithecidae	515	6550	H4	14.571	6.218	20.346	5.969	52.897	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Presbytis potenziani	Presbytis potenziani	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Presbytis potenziani	Primates	Cercopithecidae	515	6285	F2	12.506	6.428	17.823	5.942	57.303	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	NA
Presbytis rubicunda	Presbytis rubicunda	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Presbytis rubicunda	Primates	Cercopithecidae	515	6230	H4	14.571	6.218	20.346	5.969	52.897	12.Herbivore-Frugivore		0	H	NA	NA	NA	Berlin2016June	NA
Presbytis siamensis	Presbytis siamensis	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Presbytis siamensis	Primates	Cercopithecidae	515	5895.06	H4	14.571	6.218	20.346	5.969	52.897	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Presbytis thomasi	Presbytis thomasi	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Presbytis thomasi	Primates	Cercopithecidae	515	6730	H4	14.571	6.218	20.346	5.969	52.897	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Procolobus verus	Procolobus verus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Procolobus verus	Primates	Cercopithecidae	460	3600	H4	10.38	4.088	23.512	6.765	55.256	12.Herbivore-Frugivore	Frugivore-herbivore	0	H	Frugivore	NA	NA	NA	NA
Pygathrix cinerea	Pygathrix cinerea	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Pygathrix cinerea	Primates	Cercopithecidae	686	NA	H4	8.887	4.639	20.709	6.074	59.692	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Pygathrix nemaeus	Pygathrix nemaeus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Pygathrix nemaeus	Primates	Cercopithecidae	503	8310	H4	14.881	4.944	16.826	7.235	56.115	12.Herbivore-Frugivore		0	H	NA	NA	NA	Berlin2016June	Berlin2016June
Pygathrix nigripes	Pygathrix nigripes	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Pygathrix nigripes	Primates	Cercopithecidae	686	10333.32	H4	14.881	4.944	16.826	7.235	56.115	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Pygathrix roxellana	Pygathrix roxellana	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhinopithecus avunculus	Rhinopithecus avunculus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Rhinopithecus avunculus	Primates	Cercopithecidae	565	11250	H4	14.813	4.327	20.001	6.683	54.176	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Rhinopithecus bieti	Rhinopithecus bieti	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Rhinopithecus bieti	Primates	Cercopithecidae	785	9960	H12	9.36	4.153	22.123	4.718	59.646	13.Herbivore-Browser		0	H	NA	NA	NA	NA	NA
Rhinopithecus brelichi	Rhinopithecus brelichi	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Rhinopithecus brelichi	Primates	Cercopithecidae	730	12267.15	H4	18.512	5.525	15.832	6.637	53.495	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Rhinopithecus roxellana	Rhinopithecus roxellana	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Rhinopithecus roxellana	Primates	Cercopithecidae	665	14750	H4	14.517	5.595	17.252	6.712	55.926	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Semnopithecus ajax	Semnopithecus ajax	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Semnopithecus ajax	Primates	Cercopithecidae	595	14500	H4	12.88	4.871	18.663	7.374	56.213	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Semnopithecus dussumieri	Semnopithecus dussumieri	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Semnopithecus dussumieri	Primates	Cercopithecidae	595	14500	H4	12.88	4.871	18.663	7.374	56.213	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Semnopithecus entellus	Semnopithecus entellus	Primates	Cercopithecidae	1	0	1	0	0	0	0	0	NA	NA	NA	Semnopithecus entellus	Primates	Cercopithecidae	595	17200	H4	12.88	4.871	18.663	7.374	56.213	12.Herbivore-Frugivore		0	H	NA	NA	NA	Berlin2016June	NA
Semnopithecus hector	Semnopithecus hector	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Semnopithecus hector	Primates	Cercopithecidae	595	14500	H4	12.88	4.871	18.663	7.374	56.213	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Semnopithecus hypoleucos	Semnopithecus hypoleucos	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Semnopithecus hypoleucos	Primates	Cercopithecidae	595	10026.65	H4	12.88	4.871	18.663	7.374	56.213	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Semnopithecus priam	Semnopithecus priam	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Semnopithecus priam	Primates	Cercopithecidae	595	14500	H4	12.88	4.871	18.663	7.374	56.213	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Semnopithecus schistaceus	Semnopithecus schistaceus	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Semnopithecus schistaceus	Primates	Cercopithecidae	595	14500	H4	12.88	4.871	18.663	7.374	56.213	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Simias concolor	Simias concolor	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Simias concolor	Primates	Cercopithecidae	487.5	7393.9	H4	8.59	4.948	19.529	5.828	61.105	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Theropithecus gelada	Theropithecus gelada	Primates	Cercopithecidae	1	0	1	0	1	1	0	0	NA	NA	NA	Theropithecus gelada	Primates	Cercopithecidae	612.5	12242.33	H1	13.157	5.488	21.986	8.243	51.127	13.14.MF		0	H	NA	NA	NA	Berlin2016June	Berlin2016June
Trachypithecus auratus	Trachypithecus auratus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Trachypithecus auratus	Primates	Cercopithecidae	580	9719.6		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Trachypithecus barbei	Trachypithecus barbei	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Trachypithecus barbei	Primates	Cercopithecidae	580	9100	H4	10.17	3.781	20.053	12.073	53.923	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Trachypithecus cristatus	Trachypithecus cristatus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Trachypithecus cristatus	Primates	Cercopithecidae	531.5	6185	H4	10.17	3.781	20.053	12.073	53.923	12.Herbivore-Frugivore		0	H	NA	NA	NA	Berlin2016June	NA
Trachypithecus delacouri	Trachypithecus delacouri	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Trachypithecus delacouri	Primates	Cercopithecidae	580	9100		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Trachypithecus ebenus	Trachypithecus ebenus	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Trachypithecus ebenus	Primates	Cercopithecidae	580	9100		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
