ID,MEAN_HYP:1,MEAN_HYP:2,MEAN_HYP:3,MEAN_FCT_HOD:1,MEAN_FCT_HOD:2,MEAN_FCT_HOD:3,MEAN_FCT_AL,MEAN_FCT_OL,MEAN_FCT_SF,MEAN_FCT_OT,MEAN_FCT_CM,NB_SPC,folds_split_C
enabled_col,T,T,T,T,T,T,T,T,T,T,T,F,F
92669,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
93464,0.867,0.067,0.067,1.000,0.000,0.000,0.200,0.333,0.200,0.000,0.000,15,F:EU
93465,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
93466,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
93467,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
94262,0.857,0.071,0.071,0.929,0.000,0.071,0.143,0.357,0.214,0.071,0.071,14,F:EU
94263,0.857,0.071,0.071,1.000,0.000,0.000,0.143,0.357,0.214,0.000,0.000,14,F:EU
94264,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
94265,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
94266,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
94267,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
95060,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
95061,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
95062,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
95063,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
95064,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
95065,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
95066,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
95860,0.857,0.071,0.071,1.000,0.000,0.000,0.143,0.357,0.214,0.000,0.000,14,F:EU
95861,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
95862,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
95863,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
